City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Biak,ID,-0.9131,122.8766,82.89,73,78,4.43,broken clouds
268,Paita,PE,-5.0892,-81.1144,62.87,88,99,10.96,overcast clouds
269,Cabo San Lucas,MX,22.8909,-109.9124,77.61,70,0,4.38,clear sky
270,Yar-Sale,RU,66.8333,70.8333,39.51,92,100,5.23,overcast clouds
271,New Norfolk,AU,-42.7826,147.0587,57.92,52,96,8.75,overcast clouds
272,Bilibino,RU,68.0546,166.4372,15.75,95,100,9.04,light snow
273,Tshikapa,CD,-6.4167,20.8,71.04,88,17,1.81,few clouds
274,Vila Velha,BR,-20.3297,-40.2925,76.95,83,0,8.05,clear sky
275,Waipawa,NZ,-41.4122,175.5153,54.25,56,0,6.44,clear sky
276,Labuhan,ID,-6.8844,112.2051,89.13,59,100,2.93,overcast clouds
277,Marawi,PH,7.9986,124.2928,78.69,79,87,2.75,overcast clouds
278,Khatanga,RU,71.9667,102.5,26.31,96,100,12.97,light snow
279,Suarez,CO,2.954,-76.6964,67.24,99,100,1.36,overcast clouds
280,Martinsville,US,36.6915,-79.8725,60.01,80,0,3.44,clear sky
281,Pangnirtung,CA,66.1451,-65.7125,24.85,87,100,2.04,overcast clouds
282,Teguise,ES,29.0605,-13.564,70.02,78,20,13.8,few clouds
283,Wakkanai,JP,45.4094,141.6739,53.58,66,75,6.91,broken clouds
284,Mpigi,UG,0.225,32.3136,68.81,83,100,2.59,overcast clouds
285,Mabaruma,GY,8.2,-59.7833,73.89,99,72,2.06,broken clouds
286,Kaohsiung,TW,22.6163,120.3133,87.75,70,75,10.36,broken clouds
287,Yanam,IN,16.7333,82.2167,79.86,89,99,6.29,overcast clouds
288,Sabya,SA,17.1495,42.6254,89.22,61,93,1.36,overcast clouds
289,Pochutla,MX,15.7432,-96.4661,76.82,90,27,4.5,scattered clouds
290,Messina,IT,38.1933,15.5497,66.43,75,0,3.44,clear sky
291,Mungwi,ZM,-10.1732,31.3694,66.61,39,3,8.05,clear sky
292,Maltahohe,NA,-24.8333,16.9833,66.61,14,4,5.79,clear sky
293,Mahebourg,MU,-20.4081,57.7,76.24,64,40,12.66,scattered clouds
294,Tura,IN,25.5198,90.2201,84.11,65,58,4.45,broken clouds
295,Tessalit,ML,20.1986,1.0114,81.82,19,0,12.64,clear sky
296,Harper,LR,4.375,-7.7169,75.99,89,78,5.99,broken clouds
297,Novokizhinginsk,RU,51.6115,109.5917,38.57,49,87,7.52,overcast clouds
298,Klaksvik,FO,62.2266,-6.589,43.72,73,99,8.77,overcast clouds
299,Ayan,RU,56.45,138.1667,34.74,40,41,14.56,scattered clouds
300,Rawson,AR,-43.3002,-65.1023,45.72,70,88,30.87,overcast clouds
301,Margate,GB,51.3813,1.3862,51.69,83,0,1.99,clear sky
302,La Ronge,CA,55.1001,-105.2842,46.65,76,0,5.75,clear sky
303,Statesville,US,35.7826,-80.8873,60.58,48,98,6.91,overcast clouds
304,Vershino-Darasunskiy,RU,52.35,115.5167,34.57,48,69,5.64,broken clouds
305,Diu,IN,20.7141,70.9822,85.3,65,73,8.16,broken clouds
306,Mosta,MT,35.9092,14.4256,65.44,88,20,2.3,few clouds
307,Santa Cruz Cabralia,BR,-16.2781,-39.0247,73.63,94,20,4.61,few clouds
308,Fredericton,CA,45.9454,-66.6656,58.84,84,100,4.61,overcast clouds
309,Korem,ET,12.5058,39.5228,59.22,64,96,4.07,light rain
310,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,18.41,scattered clouds
311,Estreito,BR,-5.7833,-43.25,73.69,55,20,4.14,few clouds
312,Dayong,CN,25.0209,118.2898,84.25,53,96,6.93,overcast clouds
313,Corner Brook,CA,48.9667,-57.9484,44.76,95,100,4.94,overcast clouds
314,Gouyave,GD,12.1646,-61.7296,79.57,83,40,13.8,scattered clouds
315,Bezhetsk,RU,57.7851,36.6965,47.12,86,86,12.97,overcast clouds
316,Oriximina,BR,-1.7656,-55.8661,80.96,51,6,5.59,clear sky
317,Naze,JP,28.3667,129.4833,77.92,63,92,11.21,overcast clouds
318,Linden,GY,6.0,-58.3,73.04,97,8,1.61,clear sky
319,Baykit,RU,61.67,96.37,37.8,79,100,7.94,overcast clouds
320,Ahipara,NZ,-35.1667,173.1667,58.89,66,100,9.57,overcast clouds
321,Port Hardy,CA,50.6996,-127.4199,51.98,100,100,3.44,fog
322,Ust-Ishim,RU,57.6935,71.1665,50.61,73,81,7.54,broken clouds
323,Gat,IL,31.61,34.7642,72.39,100,0,3.51,clear sky
324,Esna,EG,25.2934,32.554,73.42,37,0,16.26,clear sky
325,Souillac,MU,-20.5167,57.5167,75.58,64,40,12.66,scattered clouds
326,Dingle,PH,10.9995,122.6711,85.15,75,95,9.33,very heavy rain
327,Sandakan,MY,5.8402,118.1179,87.48,74,20,6.91,few clouds
328,Puerto Madryn,AR,-42.7692,-65.0385,46.6,70,99,32.28,overcast clouds
329,Coari,BR,-4.085,-63.1414,80.28,58,91,1.83,overcast clouds
330,Celestun,MX,20.8667,-90.4,77.05,83,11,9.66,few clouds
331,Lavrentiya,RU,65.5833,-171.0,34.21,70,45,2.62,scattered clouds
332,Grindavik,IS,63.8424,-22.4338,43.27,93,100,16.11,moderate rain
333,Wellington,NZ,-41.2866,174.7756,57.06,73,0,23.02,clear sky
334,Malanje,AO,-9.5402,16.341,65.41,88,82,6.82,broken clouds
335,Sobolevo,RU,54.4299,31.8996,42.19,94,19,7.4,few clouds
336,Nara,JP,34.6851,135.8049,70.5,36,100,10.78,overcast clouds
337,Ghugus,IN,19.9333,79.1333,83.5,75,72,9.71,broken clouds
338,Shambu,ET,9.5667,37.1,53.56,90,58,1.52,light rain
339,Navrongo,GH,10.8956,-1.0921,72.68,94,56,5.68,broken clouds
340,Barranca,PE,-10.75,-77.7667,59.97,86,35,6.89,scattered clouds
341,Nouakchott,MR,18.0858,-15.9785,77.63,73,44,12.1,scattered clouds
342,Evensk,RU,61.95,159.2333,32.41,52,62,6.55,broken clouds
343,Mastic Beach,US,40.7668,-72.8521,60.03,79,100,10.36,overcast clouds
344,Emba,KZ,48.8264,58.1442,53.13,48,39,13.11,scattered clouds
345,Coihaique,CL,-45.5752,-72.0662,33.75,80,0,3.44,clear sky
346,Nuuk,GL,64.1835,-51.7216,32.61,86,75,3.44,broken clouds
347,Namibe,AO,-15.1961,12.1522,66.38,92,44,6.04,scattered clouds
348,Nangomba,TZ,-10.9,38.5,74.28,66,32,4.29,scattered clouds
349,Baghdad,IQ,33.3406,44.4009,80.51,26,0,0.0,clear sky
350,Iqaluit,CA,63.7506,-68.5145,28.13,74,75,11.5,broken clouds
351,Aba,NG,5.1066,7.3667,73.02,97,100,0.45,overcast clouds
352,Pizarro,CO,4.9533,-77.366,76.3,93,100,7.23,moderate rain
353,Coahuayana,MX,18.7333,-103.6833,76.5,89,46,3.04,scattered clouds
354,Tabory,RU,58.5198,64.5495,43.9,89,79,4.99,light rain
355,Sambava,MG,-14.2667,50.1667,73.83,67,38,13.31,scattered clouds
356,Marabba,SD,12.35,32.1833,81.05,65,89,8.97,overcast clouds
357,Tommot,RU,58.9564,126.2925,29.77,64,86,9.89,overcast clouds
358,Mangaluru,IN,12.8667,74.8833,85.06,65,40,0.0,scattered clouds
359,Storforshei,NO,66.4043,14.5233,42.66,100,100,1.14,overcast clouds
360,Dargaville,NZ,-35.9333,173.8833,59.22,65,97,5.7,overcast clouds
361,Meulaboh,ID,4.1363,96.1285,79.12,71,100,1.77,overcast clouds
362,Jaumave,MX,23.4167,-99.3833,66.52,82,98,2.44,overcast clouds
363,Maniitsoq,GL,65.4167,-52.9,33.17,76,100,15.26,overcast clouds
364,San Patricio,US,28.017,-97.5169,78.84,61,100,1.3,overcast clouds
365,Mekhe,SN,15.1097,-16.6218,79.72,81,88,6.64,overcast clouds
366,Iguala,MX,18.3438,-99.5372,70.65,90,15,2.66,few clouds
367,Safaga,EG,26.7292,33.9365,76.6,53,0,16.42,clear sky
368,Ostrovnoy,RU,68.0531,39.5131,42.37,88,98,18.3,overcast clouds
369,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,61,0,16.11,clear sky
370,Kandrian,PG,-6.2167,149.55,85.77,57,59,10.69,broken clouds
371,Korla,CN,41.7597,86.1469,67.51,24,0,6.82,clear sky
372,Svetlaya,RU,46.5389,138.3297,49.08,40,8,7.94,clear sky
373,Falun,SE,60.6036,15.626,48.94,90,73,9.28,broken clouds
374,Sola,VU,-13.8833,167.55,81.27,74,68,12.95,broken clouds
375,Verkhnyaya Inta,RU,65.9811,60.3094,41.77,94,100,11.45,light rain
376,Chase,CA,50.8165,-119.6857,56.32,68,91,1.19,overcast clouds
377,Adrar,MR,20.5022,-10.0711,85.37,24,33,8.88,scattered clouds
378,Smoky Lake,CA,54.1169,-112.4686,50.72,71,45,0.0,scattered clouds
379,Merauke,ID,-8.4667,140.3333,83.39,79,57,16.35,broken clouds
380,Luderitz,NA,-26.6481,15.1594,60.82,62,1,14.52,clear sky
381,Nantucket,US,41.2835,-70.0995,62.71,80,20,11.5,few clouds
382,Hokitika,NZ,-42.7167,170.9667,53.38,68,87,6.87,overcast clouds
383,Tres Arroyos,AR,-38.3739,-60.2798,51.67,63,100,17.27,overcast clouds
384,Sabha,LY,27.0377,14.4283,67.08,45,0,9.01,clear sky
385,Cherskiy,RU,68.75,161.3,23.99,75,100,22.41,overcast clouds
386,Krasnotorka,UA,48.682,37.5327,51.24,79,6,7.74,clear sky
387,Geraldton,AU,-28.7667,114.6,79.21,27,0,16.11,clear sky
388,Axim,GH,4.8699,-2.2405,74.84,89,41,3.96,scattered clouds
389,Guerrero Negro,MX,27.9769,-114.0611,70.54,83,1,10.65,clear sky
390,San Luis,AR,-33.295,-66.3356,60.33,37,6,23.15,clear sky
391,Asfi,MA,32.2994,-9.2372,67.78,93,46,14.88,scattered clouds
392,Victor Harbor,AU,-35.5667,138.6167,57.99,55,40,3.0,scattered clouds
393,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,100,100,18.41,overcast clouds
394,Bambanglipuro,ID,-7.95,110.2833,80.8,80,100,8.23,overcast clouds
395,Kamenka,RU,51.3223,42.7678,48.33,82,0,2.75,clear sky
396,Pirapozinho,BR,-22.2753,-51.5,60.28,94,0,0.0,clear sky
397,Rabo De Peixe,PT,37.8,-25.5833,70.29,89,75,4.61,light rain
398,Westport,US,41.1415,-73.3579,59.02,61,100,5.75,overcast clouds
399,Alice Springs,AU,-23.7,133.8833,72.95,27,0,14.97,clear sky
400,Mutoko,ZW,-17.397,32.2268,66.67,41,3,10.47,clear sky
401,Vanimo,PG,-2.6741,141.3028,85.8,68,76,8.55,broken clouds
402,Deniliquin,AU,-35.5333,144.9667,60.55,40,87,12.12,overcast clouds
403,La Rioja,ES,42.25,-2.5,49.78,94,70,2.91,broken clouds
