City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Vaitape,PF,77.67,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
512,Kudahuvadhoo,MV,82.08,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
513,Machiques,VE,75.2,overcast clouds,10.0644,-72.545,hotel el markes
519,Ternate,ID,84.88,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
521,Montepuez,MZ,75.51,broken clouds,-13.1256,38.9997,PembaAparthotel
522,Gao,ML,85.42,few clouds,16.6362,1.637,
525,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
529,Kavaratti,IN,81.43,few clouds,10.5669,72.642,Green leaf
538,Ende,ID,86.83,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
540,Charters Towers,AU,89.37,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
545,Sur,OM,86.34,clear sky,22.5667,59.5289,Sur Plaza Hotel
547,San Andres,CO,75.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
557,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
571,Sao Miguel Do Araguaia,BR,76.26,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
572,Sihora,IN,83.53,overcast clouds,23.4833,80.1167,Hotel Yash Raj Sihora
573,Bhadrak,IN,87.71,few clouds,21.0633,86.5054,Hotel bluevine
576,Jacareacanga,BR,76.1,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
577,Beroroha,MG,89.01,clear sky,-21.6667,45.1667,
578,Itarema,BR,77.49,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
586,Khudumelapye,BW,76.78,clear sky,-23.8833,24.75,
589,Lukulu,ZM,77.41,clear sky,-14.3707,23.242,Ruth Guest House
591,Yulara,AU,75.11,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
592,Fare,PF,78.12,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
593,Emerald,AU,85.33,scattered clouds,-23.5333,148.1667,The Irish Village
595,Nha Trang,VN,75.2,moderate rain,12.25,109.1833,Hanoi Golden Hotel
596,Oussouye,SN,77.61,moderate rain,12.485,-16.5469,Auberge du Routard
602,Kawalu,ID,80.87,overcast clouds,-7.3817,108.2082,West Jontor
605,Kahului,US,82.42,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
606,Nago,JP,83.25,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
609,Seybaplaya,MX,76.23,few clouds,19.65,-90.6667,sala de fiesta san Rafael
611,Arvi,IN,82.09,overcast clouds,20.9833,78.2333,Geet shirbhate
613,Saint-Leu,RE,76.96,broken clouds,-21.15,55.2833,La Caz Oceane
615,Attingal,IN,85.68,broken clouds,8.6833,76.8333,Government Guest House
617,Roebourne,AU,87.12,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
618,Rantepao,ID,81.03,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
623,Black River,JM,77.43,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
630,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
631,Nueva Gerona,CU,80.31,few clouds,21.8833,-82.8,Casa de la Alegria
638,Ratnagiri,IN,83.08,broken clouds,16.9833,73.3,Hotel Landmark
639,Tsabong,BW,79.61,clear sky,-26.0217,22.401,Springbok Motel
648,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
651,Galle,LK,82.17,overcast clouds,6.0367,80.217,Amangalla
657,Kismayo,SO,80.29,light rain,-0.3582,42.5454,Agan-Hotel
658,Srikakulam,IN,84.78,broken clouds,18.3,83.9,Micro Systems
660,Kendari,ID,85.73,overcast clouds,-3.945,122.4989,Hotel Wixel
661,Bakel,SN,80.71,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
664,Daru,PG,81.05,overcast clouds,-9.0763,143.2092,Daru Lodge
666,Tecoanapa,MX,77.97,broken clouds,16.5167,-98.75,Hotel Manglares
667,Fonte Boa,BR,77.34,broken clouds,-2.4959,-66.2662,
670,Mana,GF,77.16,scattered clouds,5.6592,-53.7767,LE SAMANA
672,Mayumba,GA,75.7,overcast clouds,-3.432,10.6554,LIKWALE LODGE
676,Manokwari,ID,83.88,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
684,Buala,SB,83.52,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
